All   channel acquired
Date[dd-mm-yy]= 01-11-22   Time= 17:10:36
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  2.791100	     0.020	     0.000	    -0.080	     0.082
  2.802400	     0.020	    -0.010	    -0.080	     0.083
  2.813700	     0.030	    -0.010	    -0.090	     0.095
  2.825000	     0.010	     0.010	    -0.100	     0.101
  2.836300	     0.020	     0.000	    -0.080	     0.082
  2.847600	     0.030	     0.010	    -0.080	     0.086
  2.858900	     0.030	     0.020	    -0.090	     0.097
  2.870200	     0.020	     0.010	    -0.090	     0.093
  2.881500	     0.010	     0.010	    -0.090	     0.091
  2.892800	     0.030	     0.010	    -0.100	     0.105
  2.904100	     0.030	     0.010	    -0.080	     0.086
  2.915400	     0.040	     0.000	    -0.090	     0.098
  2.926700	     0.020	     0.000	    -0.080	     0.082
  2.938000	     0.030	    -0.010	    -0.080	     0.086
  2.949300	     0.020	    -0.010	    -0.070	     0.073
  2.960600	     0.030	     0.000	    -0.080	     0.085
  2.971900	     0.010	     0.000	    -0.070	     0.071
  2.983200	     0.050	     0.010	    -0.080	     0.095
  2.994500	     0.030	     0.000	    -0.080	     0.085
  3.005800	     0.030	     0.010	    -0.090	     0.095
  3.017100	     0.020	    -0.010	    -0.110	     0.112
  3.028400	     0.040	     0.000	    -0.080	     0.089
  3.039700	     0.030	     0.010	    -0.080	     0.086
  3.051000	     0.040	     0.010	    -0.090	     0.099
  3.062300	     0.020	     0.010	    -0.100	     0.102
  3.073600	     0.040	     0.010	    -0.080	     0.090
  3.084900	     0.050	     0.010	    -0.080	     0.095
  3.096200	     0.040	    -0.010	    -0.080	     0.090
  3.107500	     0.050	     0.020	    -0.090	     0.105
  3.118800	     0.020	     0.010	    -0.080	     0.083
  3.130100	     0.030	     0.010	    -0.090	     0.095
  3.141400	     0.010	     0.010	    -0.090	     0.091
  3.152700	     0.010	     0.000	    -0.080	     0.081
  3.164000	     0.010	     0.000	    -0.100	     0.100
  3.175300	     0.010	     0.000	    -0.090	     0.091
  3.186600	     0.020	    -0.010	    -0.080	     0.083
  3.197900	     0.020	     0.010	    -0.090	     0.093
  3.209200	     0.030	     0.000	    -0.090	     0.095
  3.220500	     0.010	    -0.010	    -0.090	     0.091
  3.231800	     0.030	     0.010	    -0.100	     0.105
  3.243100	     0.030	     0.000	    -0.090	     0.095
  3.254400	     0.040	     0.010	    -0.080	     0.090
  3.265700	     0.040	     0.010	    -0.110	     0.117
  3.277000	     0.050	     0.010	    -0.090	     0.103
  3.288300	     0.040	     0.010	    -0.090	     0.099
  3.299600	     0.050	     0.010	    -0.090	     0.103
  3.310900	     0.030	     0.000	    -0.090	     0.095
  3.322200	     0.030	    -0.010	    -0.090	     0.095
  3.333500	     0.040	     0.000	    -0.080	     0.089
  3.344800	     0.020	     0.010	    -0.100	     0.102
  3.356100	     0.010	     0.000	    -0.090	     0.091
  3.367400	     0.010	     0.010	    -0.080	     0.081
  3.378700	     0.050	     0.000	    -0.080	     0.094
  3.390000	     0.030	    -0.010	    -0.070	     0.077
  3.401300	     0.030	     0.000	    -0.100	     0.104
  3.412600	     0.030	     0.000	    -0.090	     0.095
  3.423900	     0.040	     0.000	    -0.090	     0.098
  3.435200	     0.020	    -0.010	    -0.100	     0.102
  3.446500	     0.030	     0.020	    -0.100	     0.106
  3.457800	     0.050	     0.010	    -0.080	     0.095
  3.469100	     0.020	     0.000	    -0.090	     0.092
  3.480400	     0.040	     0.000	    -0.080	     0.089
  3.491700	     0.040	     0.000	    -0.090	     0.098
  3.503000	     0.040	     0.000	    -0.090	     0.098
  3.514300	     0.030	     0.000	    -0.070	     0.076
  3.525600	     0.040	     0.010	    -0.100	     0.108
  3.536900	     0.050	    -0.010	    -0.080	     0.095
  3.548200	     0.030	     0.000	    -0.080	     0.085
  3.559500	     0.040	     0.000	    -0.090	     0.098
  3.570800	     0.030	    -0.010	    -0.090	     0.095
  3.582100	     0.050	     0.000	    -0.090	     0.103
  3.593400	     0.040	     0.010	    -0.090	     0.099
  3.604700	     0.030	    -0.010	    -0.100	     0.105
  3.616000	     0.020	     0.000	    -0.080	     0.082
  3.627300	     0.040	     0.000	    -0.090	     0.098
  3.638600	     0.020	     0.000	    -0.080	     0.082
  3.649900	     0.020	     0.010	    -0.100	     0.102
  3.661200	     0.030	     0.000	    -0.080	     0.085
  3.672500	     0.030	     0.000	    -0.070	     0.076
  3.683800	     0.030	     0.010	    -0.080	     0.086
  3.695100	     0.040	    -0.010	    -0.100	     0.108
  3.706400	     0.010	     0.000	    -0.100	     0.100
  3.717700	     0.020	     0.000	    -0.100	     0.102
  3.729000	     0.020	     0.000	    -0.100	     0.102
  3.740300	     0.020	     0.000	    -0.090	     0.092
  3.751600	     0.020	     0.000	    -0.090	     0.092
  3.762900	     0.040	     0.000	    -0.080	     0.089
  3.774200	     0.020	     0.000	    -0.110	     0.112
  3.785500	     0.030	     0.010	    -0.110	     0.114
  3.796800	     0.020	     0.000	    -0.090	     0.092
  3.808100	     0.020	     0.010	    -0.100	     0.102
  3.819400	     0.030	     0.020	    -0.080	     0.088
  3.830700	     0.030	     0.000	    -0.070	     0.076
  3.842000	     0.030	     0.000	    -0.070	     0.076
  3.853300	     0.030	     0.020	    -0.100	     0.106
  3.864600	     0.010	     0.000	    -0.090	     0.091
  3.875900	     0.020	     0.000	    -0.090	     0.092
  3.887200	     0.030	     0.010	    -0.090	     0.095
  3.898500	     0.030	     0.010	    -0.090	     0.095
  3.909800	     0.020	     0.010	    -0.090	     0.093
  3.921100	     0.030	     0.010	    -0.080	     0.086
  3.932400	     0.030	     0.010	    -0.080	     0.086
