All   channel acquired
Date[dd-mm-yy]= 20-10-22   Time= 15:15:17
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  1.600240	    -0.030	    -0.030	    -0.020	     0.047
  1.606880	    -0.030	    -0.010	    -0.020	     0.037
  1.613520	    -0.020	    -0.020	    -0.010	     0.030
  1.620160	     0.010	    -0.040	    -0.020	     0.046
  1.626800	    -0.010	     0.010	    -0.020	     0.024
  1.633440	     0.010	    -0.020	     0.000	     0.022
  1.640080	     0.010	    -0.020	    -0.020	     0.030
  1.646720	    -0.020	     0.000	    -0.050	     0.054
  1.653360	    -0.020	    -0.020	     0.020	     0.035
  1.660000	     0.000	    -0.010	     0.010	     0.014
  1.666640	    -0.010	     0.000	    -0.010	     0.014
  1.673280	    -0.010	     0.000	    -0.010	     0.014
  1.679920	    -0.010	    -0.010	    -0.050	     0.052
  1.686560	    -0.020	     0.000	    -0.010	     0.022
  1.693200	     0.000	    -0.010	     0.010	     0.014
  1.699840	     0.020	    -0.020	    -0.020	     0.035
  1.706480	    -0.020	     0.000	     0.030	     0.036
  1.713120	    -0.030	     0.000	    -0.010	     0.032
  1.719760	    -0.010	     0.010	    -0.020	     0.024
  1.726400	    -0.010	     0.000	    -0.010	     0.014
  1.733040	     0.000	    -0.020	     0.000	     0.020
  1.739680	     0.000	     0.020	     0.000	     0.020
  1.746320	    -0.030	    -0.030	    -0.020	     0.047
  1.752960	    -0.020	     0.000	    -0.020	     0.028
  1.759600	     0.000	     0.000	     0.000	     0.000
  1.766240	    -0.010	    -0.010	    -0.050	     0.052
  1.772880	    -0.010	     0.000	    -0.010	     0.014
  1.779520	    -0.020	     0.010	     0.010	     0.024
  1.786160	     0.010	    -0.020	    -0.010	     0.024
  1.792800	    -0.010	     0.010	     0.000	     0.014
  1.799440	    -0.030	    -0.010	    -0.010	     0.033
  1.806080	    -0.020	     0.000	    -0.010	     0.022
  1.812720	    -0.010	     0.000	     0.000	     0.010
  1.819360	    -0.040	     0.010	    -0.010	     0.042
  1.826000	     0.010	     0.000	    -0.010	     0.014
  1.832640	     0.000	    -0.020	     0.000	     0.020
  1.839280	    -0.010	    -0.010	     0.000	     0.014
  1.845920	     0.000	     0.000	     0.000	     0.000
  1.852560	     0.000	    -0.010	    -0.010	     0.014
  1.859200	     0.010	    -0.020	    -0.020	     0.030
  1.865840	    -0.020	    -0.030	    -0.050	     0.062
  1.872480	    -0.010	     0.010	    -0.020	     0.024
  1.879120	     0.000	    -0.030	    -0.020	     0.036
  1.885760	     0.000	    -0.030	    -0.010	     0.032
  1.892400	    -0.010	    -0.030	    -0.010	     0.033
  1.899040	     0.010	    -0.050	     0.000	     0.051
  1.905680	     0.000	    -0.030	     0.000	     0.030
  1.912320	    -0.030	    -0.030	    -0.010	     0.044
  1.918960	     0.020	    -0.020	    -0.010	     0.030
  1.925600	     0.020	    -0.020	     0.000	     0.028
  1.932240	     0.020	    -0.030	    -0.050	     0.062
  1.938880	    -0.020	     0.010	     0.000	     0.022
  1.945520	     0.010	     0.000	    -0.010	     0.014
  1.952160	     0.020	     0.020	    -0.010	     0.030
  1.958800	    -0.020	     0.000	     0.020	     0.028
  1.965440	    -0.020	    -0.050	     0.000	     0.054
  1.972080	    -0.010	    -0.010	    -0.010	     0.017
  1.978720	    -0.020	    -0.010	     0.000	     0.022
  1.985360	    -0.040	    -0.050	     0.010	     0.065
  1.992000	    -0.010	    -0.010	    -0.010	     0.017
  1.998640	    -0.030	    -0.020	    -0.020	     0.041
  2.005280	    -0.020	     0.010	    -0.050	     0.055
  2.011920	    -0.010	    -0.010	    -0.020	     0.024
  2.018560	     0.000	    -0.030	    -0.010	     0.032
  2.025200	    -0.020	     0.000	    -0.010	     0.022
  2.031840	     0.010	     0.000	    -0.010	     0.014
  2.038480	    -0.030	     0.020	    -0.010	     0.037
  2.045120	    -0.010	     0.000	    -0.030	     0.032
